
0x1F632	놀랍게도,충격,
0x1F912	온도계,
0x1F915	붕대,상처,
0x1F922	구역질,토하다,
0x1F927	재채기,
0x1F920	카우보이,카우걸,
0x1F921	광대,
0x1F925	거짓말,피노키오,
0x1F913	괴짜,얼간이,
0x2620	두개골,
0x1F47D	유에프오,
0x1F467	수대,
0x1F468,0x200D,0x2695,0xFE0F	간호사,치료사,
0x1F468,0x200D,0x1F393	학생,
0x1F468,0x200D,0x1F3EB	강사,교수,선생,
0x1F469,0x200D,0x1F3EB	교사,
0x1F468,0x200D,0x2696,0xFE0F	정의,저울,
0x1F469,0x200D,0x2696,0xFE0F	판사,비늘,
0x1F468,0x200D,0x1F33E	농부,정원사,
0x1F469,0x200D,0x1F33E	목장주,
0x1F468,0x200D,0x1F373	주방장,
0x1F468,0x200D,0x1F527	정비공,배관공,
0x1F468,0x200D,0x1F3ED	조립,공장,노동자,
0x1F468,0x200D,0x1F4BC	건축가,관리자,
0x1F468,0x200D,0x1F52C	화학자,엔지니어,과학자,
0x1F468,0x200D,0x1F4BB	코더,개발자,발명가,소프트웨어,
0x1F469,0x200D,0x1F4BB	기술자,
0x1F468,0x200D,0x1F3A4	배우,연예인,
0x1F469,0x1F3FE,0x200D,0x1F3A4	록,
0x1F468,0x200D,0x1F3A8	아티스트,
0x1F468,0x200D,0x2708,0xFE0F	조종사,
0x1F468,0x200D,0x1F692	소방관,
0x1F575	형사,용의자,스파이,
0x1F575,0xFE0F,0x200D,0x2640,0xFE0F	간첩,
0x1F477	건설,
0x1F477,0x1F3FE	건축,
0x1F934	왕자,
0x1F471	금발,
0x1F935	신랑,턱시도,
0x1F930	임신,
0x1F385	크리스마스,산타,
0x1F64D,0x200D,0x2642,0xFE0F	찌르는,
0x1F647	활,
0x1F647,0x200D,0x2642,0xFE0F	굴복,호의,
0x1F647,0x200D,0x2640,0xFE0F	미안해,
0x1F926	격노,
0x1F937	의심,무지,무관심,
0x1F6B6,0x200D,0x2642,0xFE0F	산책,
0x1F3C3,0x200D,0x2642,0xFE0F	경주,
0x1F46F,0x200D,0x2640,0xFE0F	여자들,
0x1F6C0	목욕,목욕통,
0x1F6C0,0x1F3FB	욕조,
0x1F6CC	호텔,
0x1F574	소송,
0x1F5E3	머리,말하기,
0x1F93A	검시관,펜싱,검,
0x1F3C7	말,기수,경주마,경마,
0x26F7	스키,
0x1F3CC	골프,
0x1F3CB	기중기,무게,
0x1F6B5	산,
0x1F938	체조,
0x1F93C	레슬링하다,
0x1F93C,0x200D,0x2642,0xFE0F	분투,
0x1F93D	폴로,
0x1F93D,0x200D,0x2642,0xFE0F	수구,
0x1F93E	핸드볼,
0x1F939	균형,저글,기술,
0x1F939,0x200D,0x2642,0xFE0F	저글링,
0x1F48F	두,
0x1F91E	십자가,운,
0x1F918	바위에,
0x1F44D	+1,
0x1F44E	-1,
0x1F91B,0x1F3FD	왼쪽으로,
0x1F91C	오른쪽으로,
0x270D	쓰다,
0x1F91D	합의,악수,회의,떨림,
0x1F442,0x1F3FB	몸,
0x1F463	인쇄,
0x1F441,0xFE0F,0x200D,0x1F5E8,0xFE0F	증거,
0x1F498	큐핏,
0x1F494	휴식,
0x1F49C	자,
0x1F5A4	블랙,사악한,
0x1F4A5	붐,
0x1F4A6	튀는,
0x1F573	구멍,
0x1F455	셔츠,티셔츠,
0x1F456	바지,
0x1F45B	동전,
0x1F45C	가방,지갑,
0x1F6CD	쇼핑,
0x1F392	학교,
0x1F45F	좀도둑,
0x1F461	샌들,
0x1F462	부팅,
0x26D1	헬멧,
0x1F4FF	목걸이,종교,
0x1F98D	고릴라,
0x1F43A	늑대,
0x1F98A	여우,
0x1F981	레오,
0x1F42F	호랑이,
0x1F406	표범,
0x1F40E	승마,
0x1F984	일각수,
0x1F98C	사슴,
0x1F42E	암소,
0x1F402	토러스,황소,
0x1F403	버팔로,
0x1F404	젖소,
0x1F416	암퇘지,
0x1F43D	돼지코,
0x1F40F	양자리,양,
0x1F42A	단봉,혹,
0x1F42B	박트리아,낙타,
0x1F418	코끼리,
0x1F98F	코뿔소,
0x1F42D	쥐,
0x1F439	햄스터,
0x1F430	토끼,
0x1F43F	다람쥐,
0x1F987	박쥐,흡혈귀,
0x1F43B	곰,
0x1F983	터키,
0x1F413	수탉,
0x1F423	병아리,부화,
0x1F427	펭귄,
0x1F54A	평화,
0x1F985	독수리,
0x1F986	오리,
0x1F989	올빼미,
0x1F40A	악어,
0x1F422	거북이,터틀,
0x1F98E	도마뱀,
0x1F432	용,
0x1F42C	팔,
0x1F988	상어,
0x1F419	문어,
0x1F41A	쉘,나선,
0x1F980	암,
0x1F40C	달팽이,
0x1F98B	나비,곤충,예쁜,
0x1F41D	벌,
0x1F41E	딱정벌레,
0x1F578	거미,편물,
0x1F940	시들다,
0x1F333	흘리기,
0x1F33E	귀,
0x1F340	클로버,행운,
0x1F341	단풍,
0x1F347	포도,
0x1F34B	레몬,
0x1F353	베리,
0x1F95D	키위,
0x1F345	야채,
0x1F951	아보카도,
0x1F955	당근,
0x1F33D	옥수수,미로,
0x1F336	후추,
0x1F952	오이,피클,
0x1F344	버섯,
